NumReaders, AvgReadTime, NumReads, NumWriters, AvgWriteTime, NumWrites, MaxWriteTime
5, 118.90673, 18996416, 5, 1009.5939, 4476143, 29781527
10, 264.0554, 24342629, 10, 1929.6655, 4795625, 55986416
15, 518.5943, 20233209, 15, 3563.6482, 3718793, 100002724
20, 766.28644, 19759493, 20, 6129.0005, 3028291, 113898915
25, 871.1066, 21322357, 25, 6400.427, 3323077, 143937083
30, 1005.0573, 21566708, 30, 7479.588, 2982256, 198634264
35, 1050.6213, 22856279, 35, 11142.795, 2560625, 196064735
40, 1654.253, 20417667, 40, 11400.055, 3292569, 218599676
45, 1981.1371, 17984554, 45, 13910.562, 3021900, 256517143
50, 2433.0662, 17404049, 50, 16948.277, 2679525, 312010281
55, 2257.4429, 19461011, 55, 17471.71, 2964149, 275991722
60, 10378.745, 5358158, 60, 38539.76, 973275, 766732961
65, 3412.2651, 15455619, 65, 22166.297, 2730038, 367056535
70, 5996.1553, 9241645, 70, 58928.1, 1147046, 683856986
75, 5156.2275, 12278785, 75, 38256.97, 1906730, 621970654
80, 39738.82, 1387363, 80, 27526.936, 143273, 978013398
85, 4909.0, 15877680, 85, 30390.193, 2492180, 398169672
90, 18222.832, 3928409, 90, 98350.88, 901070, 990196989
95, 601417.3, 131525, 95, 576262.3, 26759, 1101074661
100, 1.5988024E7, 14874, 100, 2.609803E7, 1903, 3104014276
105, 433940.62, 662342, 105, 603263.56, 139256, 2461965306
110, 331225.72, 388653, 110, 2525614.8, 69172, 1594432591
115, 2.5530858E7, 4972, 115, 2.0118864E7, 2986, 1466373648
120, 2022.7142, 24480541, 120, 34437.332, 937002, 546759886
125, 24067.521, 11809942, 125, 642560.75, 310141, 3788796101
130, 633349.5, 173750, 130, 4184594.8, 35487, 1143170114
135, 168.8501, 39867446, 135, NaN, 0, 0
140, 462061.94, 478876, 140, 180515.84, 73355, 2650578783
145, 56318.223, 13385441, 145, 119264.69, 892789, 5333268751
150, 147583.84, 1438729, 150, 2198630.8, 202377, 2968105886
155, 165344.27, 871665, 155, 1551985.2, 172343, 1727601832
160, 46941.688, 11199486, 160, 123013.53, 505345, 4918670114
165, 12309.8955, 10954788, 165, 63507.477, 2254569, 792011204
170, 1278.9508, 22615213, 170, 302254.9, 231334, 524915149
175, 304016.47, 702666, 175, 3085450.8, 139454, 2460365135
180, 40699.203, 1544298, 180, 810688.6, 252993, 1139807516
185, 2080731.2, 104162, 185, 729418.44, 23559, 2456798093
190, 1912318.8, 151618, 190, 2.4535278E7, 21668, 2878722182
195, 64643.453, 2395669, 195, 444424.84, 513432, 1225550781
200, 3718032.2, 56882, 200, 719090.0, 10316, 1854939551
205, 47747.004, 2626395, 205, 445165.28, 405534, 932785168
210, 767136.2, 262248, 210, 305180.97, 36036, 2197969984
215, 4400508.0, 105868, 215, 335123.44, 41038, 4580219180
220, 780628.94, 1401472, 220, 474066.03, 189701, 9993442608
225, 6615.2363, 11685014, 225, 532490.4, 368988, 971210991
230, 2303.3218, 23881764, 230, 70367.016, 843682, 416482033
235, 813154.75, 739544, 235, 6305432.5, 116329, 3130089311
240, 176.5939, 40344581, 240, 3597.8684, 59694, 3916429
245, 8014.8394, 22429877, 245, 88736.16, 2625500, 978448137
250, 2156932.0, 122563, 250, 963405.8, 45259, 3632189470
255, 2.6239196E7, 14696, 255, 4.2186532E7, 3209, 4668918885
260, 497636.9, 1090392, 260, 7703522.0, 172091, 5158948223
265, 391396.56, 554536, 265, 4451450.0, 99307, 1687571289
270, 766849.1, 283041, 270, 1.3341065E7, 54178, 2681960659
275, 568299.5, 521919, 275, 7887414.0, 103125, 2966032058
280, 282342.5, 2657967, 280, 592402.2, 279988, 8732233353
285, 2710605.0, 254271, 285, 2.6599972E7, 39615, 4609516790
290, 2128783.8, 486628, 290, 1.4344708E7, 72036, 5202983042
295, 159061.2, 2131763, 295, 1374375.2, 358895, 1770006686
300, 8028484.0, 299467, 300, 3.0051278E7, 50275, 14634073778
305, 4525762.5, 178292, 305, 683698.25, 35794, 6211145044
310, 3785184.8, 174104, 310, 2.4852072E7, 29358, 6588840775
315, 1.2399803E7, 46212, 315, 3511196.8, 9078, 6933836975
320, 466090.1, 4728598, 320, 433305.1, 372040, 13458672775
325, 225240.75, 1582230, 325, 1711409.2, 304558, 1779518416
330, 1.8804878E7, 83099, 330, 5873996.0, 13982, 13011218543
335, 1.6145788E7, 62457, 335, 1.6826644E7, 13605, 9542207037
340, 750551.25, 264350, 340, 9157670.0, 42971, 2344856033
345, 1279.1188, 32584724, 345, 11597.575, 374095, 1000213698
350, 2852275.8, 547777, 350, 1.5126732E7, 89491, 11012274351
355, 2.5891856E8, 6383, 355, 7.86696E7, 1137, 14930731773
360, 805951.6, 851033, 360, 2962731.5, 154970, 2118845091
365, 828551.06, 546274, 365, 1.3718488E7, 105970, 4085461096
370, 322709.22, 1214690, 370, 6898797.5, 184082, 3440996203
375, 438783.75, 667612, 375, 8261156.0, 165395, 5199699492
380, 3.3276772E7, 7913, 380, 1.5450639E7, 2384, 3367166522
385, 7849560.0, 54826, 385, 1491680.2, 16692, 6142036293
390, 1.3128596E8, 2988, 390, 5.6283592E7, 807, 4542483244
395, 691856.0, 255968, 395, 420242.3, 46975, 2197643070
400, 2.1055132E7, 9804, 400, 1.8316174E7, 2712, 2780674795
405, 2469694.8, 277217, 405, 5.0467376E7, 37862, 6775813311
410, 3982422.0, 39598, 410, 5520546.5, 7925, 1988296216
415, 1794988.2, 364792, 415, 1.941059E7, 57053, 4274172498
420, 1.3663291E7, 33194, 420, 9961307.0, 9252, 4615276410
425, 553842.3, 275883, 425, 9064513.0, 55415, 1347100374
430, 1248739.2, 451589, 430, 2492895.2, 105230, 5504787697
435, 662255.94, 718965, 435, 8759705.0, 127969, 3218017669
440, 3532923.8, 466066, 440, 4.1054228E7, 76231, 12955481024
445, 421017.7, 1035367, 445, 6646493.0, 212465, 4485701199
450, 3441190.5, 368785, 450, 4.389132E7, 80275, 9838743696
455, 269940.94, 563498, 455, 120362.55, 83141, 1673344207
460, 2753858.5, 193534, 460, 717912.9, 28555, 5125258178
465, 17953.95, 3725515, 465, 2522760.2, 207255, 1366143801
470, 2762561.0, 256735, 470, 4.297676E7, 31436, 7576431276
475, 6.1303584E7, 5863, 475, 5.5885837E8, 1347, 4305908459
480, 6.0104156E7, 7638, 480, 2.6171954E7, 2179, 5703654906
485, 1037.6239, 20721885, 485, 163445.02, 682562, 997797437
490, 802918.06, 334853, 490, 525010.94, 48116, 3610142601
495, 2624015.0, 565906, 495, 790401.06, 88072, 13923010924
500, 3858283.2, 163379, 500, 1.18719776E8, 28909, 7490821359
505, 4905351.0, 179344, 505, 2386438.2, 31475, 11508153081
510, 1129.6183, 30922361, 510, 19414.77, 972819, 990604663
515, 814137.7, 1567374, 515, 3564750.2, 47728, 13124885847
520, 423541.44, 698256, 520, 4022390.0, 129700, 1255693820
525, 699742.1, 295055, 525, 888267.5, 106651, 2569302613
530, 140164.77, 3455725, 530, 1100574.1, 270053, 6937400746
535, 917304.0, 380427, 535, 4.0285804E7, 62725, 5505311718
540, 519466.56, 357954, 540, 1255227.2, 61623, 1037523315
545, 1.1085367E7, 81042, 545, 5509500.5, 15264, 8580248863
550, 56347.082, 11210101, 550, 882831.06, 401830, 6044090766
555, 744044.1, 422805, 555, 4418379.5, 67580, 5767371481
560, 6047034.5, 396254, 560, 8078977.0, 54206, 21229564438
565, 7157938.0, 137602, 565, 1.3183959E7, 23916, 12158738680
570, 4756691.5, 160295, 570, 5.9197708E7, 29045, 5808582464
575, 4.4471448E7, 91476, 575, 1.0036544E8, 14292, 23578897342
580, 9505296.0, 113628, 580, 3140945.0, 38339, 11465268427
585, 2773306.8, 146441, 585, 2216089.0, 32647, 4532498278
590, 1085548.1, 500968, 590, 4.2812244E7, 79254, 6858658450
595, 1.6715359E7, 223711, 595, 1.47089296E8, 40657, 17249032322
600, 3706173.5, 439333, 600, 1393475.2, 62222, 17345014171
605, 1257.5076, 29133238, 605, 15492.448, 408557, 999595282
610, 2.5201946E7, 7187, 610, 2.6184292E7, 732, 2129656634
615, 8.0917256E7, 2522, 615, 1.4233748E7, 1058, 2509883984
620, 4133037.8, 129038, 620, 3.504728E7, 15963, 5099830183
625, 628490.56, 433227, 625, 5193741.0, 69416, 3770671506
630, 3377715.0, 617545, 630, 6.1463232E7, 113718, 12506568722
635, 1283868.2, 796924, 635, 1.5211396E7, 127354, 10716673214
640, 1992999.5, 524922, 640, 667327.2, 67140, 11925524746
645, 6587.3, 13668135, 645, 523844.25, 1269693, 1332543722
650, 6915.7153, 19908447, 650, 44553.027, 680485, 1001722731
655, 885359.75, 902515, 655, 3.4330512E7, 104921, 10261857439
660, 273578.22, 606837, 660, 1.8582798E7, 115945, 4584802107
665, 1.2282212E7, 81778, 665, 1.1462895E7, 12630, 9053000807
670, 100212.75, 5148051, 670, 2938927.2, 230444, 4933127807
675, 7890430.5, 188850, 675, 2.787534E7, 44477, 16814547507
680, 2846546.8, 131044, 680, 4.3148212E7, 24218, 2129505295
685, 1835113.8, 493355, 685, 709917.06, 65555, 9306170406
690, 98752.914, 1581953, 690, 2134297.0, 265190, 1035541249
695, 1055909.2, 438019, 695, 2.6462722E7, 78845, 3167079063
700, 933258.0, 341356, 700, 724956.8, 42230, 3986475140
705, 4204648.5, 166421, 705, 1.25359392E8, 22816, 8538720228
710, 1.1534832E7, 544222, 710, 6.8532216E7, 136792, 25397348982
715, 2.691131E7, 21445, 715, 6298551.5, 10421, 7117306385
720, 1753.5454, 23398247, 720, 20754.264, 407049, 1001941847
725, 1.2103729E7, 17922, 725, 1.4545808E8, 2935, 2297768151
730, 8287001.0, 57608, 730, 3.914082E7, 7788, 3072794141
735, 276269.66, 2400617, 735, 1.49538E7, 418542, 9103212318
740, 1103013.5, 599437, 740, 2.7024996E7, 73061, 7588357781
745, 351047.9, 731942, 745, 1.6516497E7, 119764, 2897806113
750, 7177456.0, 240357, 750, 3.6910928E7, 69531, 16078478187
755, 9213333.0, 112785, 755, 1.2180272E7, 19730, 12479463659
760, 1.1784385E7, 139457, 760, 3.5300284E7, 18145, 11232152752
765, 59589.336, 6307283, 765, 1795277.8, 356314, 4295422237
770, 2550166.5, 320016, 770, 2.6068404E7, 57229, 4146098668
775, 2776893.2, 551595, 775, 2179638.8, 105370, 14356685485
780, 1978328.9, 865228, 780, 3.5437452E7, 111895, 20623380417
785, 32644.22, 6293681, 785, 3704056.5, 544581, 2577425454
790, 1390920.9, 535810, 790, 1.4561078E7, 82693, 8590402125
795, 65904.29, 1033308, 795, 837262.56, 111980, 1198129697
800, 7610.8433, 18948500, 800, 882390.06, 1447208, 4007411312
805, 649855.2, 140164, 805, 2054297.2, 45746, 1209618611
810, 225580.97, 444125, 810, 6937482.0, 97133, 1250740111
815, 1060145.6, 110143, 815, 9135026.0, 26563, 1787416929
820, 947747.4, 197124, 820, 1.948634E7, 51388, 2385468458
825, 2.4624762E7, 6896, 825, 6629019.5, 1316, 1744667772
830, 1416.457, 19411874, 830, 3256.5146, 778997, 999714435
835, 110331.76, 13100305, 835, 6830071.5, 891456, 12154731124
840, 3754940.0, 342403, 840, 1.15264064E8, 58968, 14904801350
845, 1908233.9, 637077, 845, 2.8611162E7, 135564, 7843708010
850, 836874.4, 667064, 850, 3652688.5, 147759, 5036502032
855, 1.1857146E7, 72782, 855, 7.8549592E7, 17203, 9897591234
860, 3269551.5, 196404, 860, 7.049668E7, 28823, 7507018502
865, 1.2046515E7, 75811, 865, 5037662.5, 15885, 8840913558
870, 695686.8, 281405, 870, 1.9345636E7, 41070, 2919996292
875, 1095797.2, 3579789, 875, 1.2130873E7, 689068, 9543388919
880, 2825209.5, 281261, 880, 1.4616563E7, 72978, 8871990195
885, 4.55811456E8, 1975, 885, 6.7249792E7, 776, 8820710494
890, 5.2570424E7, 40619, 890, 7.1386381E8, 5786, 15851173329
895, 551356.8, 352842, 895, 493080.97, 65375, 2301859652
900, 27053.238, 21487280, 900, 1073155.9, 1253335, 7081924168
905, 1491.6791, 30229757, 905, 3945.3032, 633609, 999507515
910, 2974229.2, 174835, 910, 2.7527024E7, 33190, 6189803407
915, 418453.75, 223681, 915, 1.5218192E7, 30339, 1629868114
920, 55370.21, 3295733, 920, 2604765.0, 573379, 1850802456
925, 1113.4165, 41800846, 925, 6571.412, 690548, 971983974
930, 197354.62, 1002387, 930, 5766978.5, 170349, 1291606580
935, 34669.93, 11557521, 935, 1668672.9, 1058429, 6561145776
940, 15919.499, 6967369, 940, 1144803.0, 689820, 2543469520
945, 5038922.5, 92219, 945, 1180266.0, 27474, 5553412239
950, 181957.16, 3888793, 950, 1.2556401E7, 270678, 9766054594
955, 589442.6, 451221, 955, 4734985.0, 55361, 3839657867
960, 1146124.6, 99172, 960, 474627.88, 19701, 1336934574
965, 346854.38, 806160, 965, 5291983.0, 444561, 2576901465
970, 28113.021, 3293154, 970, 5788647.0, 22915, 1173216207
975, 290993.1, 1835975, 975, 116088.6, 350788, 5183112431
980, 959579.44, 451633, 980, 437530.28, 61830, 4300200258
985, 1564835.9, 162870, 985, 632256.8, 23416, 2468246388
990, 423492.47, 195014, 990, 307513.16, 60321, 1091148348
995, 2208154.8, 181303, 995, 1992252.4, 49223, 5450890556
1000, 4761517.0, 789693, 1000, 3.36258688E8, 50209, 27023308841
